Query SMILE,Closest Match,Distance,Similarity
CC(N)(C)C1=CC=C(C(=O)N)C=C1N2CCCC(C3=CC(C(=O)C(C(C(=O)N)))=CC=C3)=C2,[O-]C(=O)c1cc(N2N=CC(c3cc(ccc3)C(=O)N)=C2)ccc1,0.6470279304978264,0.26666666666666666
CC1=CC=CC=C1CC(=O)NCC(=O)C2=CC(=O)CC=C2C3=CC=CC(C(=O)C(N))=C3,[O-]C(=O)c1cc2c(cc1)C[NH+](C2)CC(=O)NCc3ccccc3,0.7081402995353265,0.2
O=C(CC1=CC=CC(=C(N))C(=O)1)CC2=CC=CC=C2C=CC3=CC=C(C(=O)N)C=C3,O=C(NCC=CCNC(=O)c1c(c(ccc1)C(=O)N)C)c2c(c(c3ncccc3)ccc2)C,0.6632186186327633,0.15853658536585366
CC(N)(C)C1=CC=CC=C1NCC2=CC(N)=CC=C2CC3CCC(N)(C)CC3,O=C(N1CCN(C(=O)c2ccc(cc2)C(=O)N)CC1)c3cc(ccc3)C(=O)C,0.6625667400191306,0.1095890410958904
O=C(CC1=CC(C(=C)N)=CC=C1)N2CCN(CC3=CC=C(C(=C(C(=O)N))N)C=C3)C(=O)2,Clc1c(cccc1)C=CC(=O)N(CCN(C(=O)Cc2cc(ccc2)C(=O)N)C)C,0.5824290612444638,0.27848101265822783
O=C(CCC1=CC=CC(C(=C(N))(C(=O)N))=C1)N(C(=O)(N))C(=O)C=CCC2=CC=CC=C2,Clc1c(ccc(c1)C(=O)NCC=CCNC(=O)C2=Cc3c(cccc3)C2)C(=O)N,0.6667447582046547,0.2125
O=C(CC1=CC=C(C(=O)C)C=C1)NCC2=CC(C(C(N)))=CC=C2[CH1]C=CC3CCCCC3,Could not process,,
C(C(=O)N)=1C2=CC=CC(C(=O)N)=C2C=CC=1C=CC3=CC(C(=C(N))N)=CC=C3C,O=C(NCC=CCNC(=O)CCCc1c(OC)cc(OC)cc1)C2=Cc3c(cccc3)C2,0.6463746370391217,0.11235955056179775
C(C(C(=O)N))CC1=CC=CC=C1CCNC2=CC=CC=C2C3=CCC(=C)C(=O)S3,S(Cc1c(F)ccc(c1)C(=O)NC2=Nc3c(N2)ccc(c3)C(=O)N)C,0.6921007507960524,0.13636363636363635
O=C(NCC1=CC=CC=C1)CC2CC(=O)C3=CC=C(C(C(C(C(C(=O)N)))))C=C3S2,O=C(N)c1c(cccc1)CCC(=O)NCC(CNC(=O)CCc2c(cccc2)C)C,0.67611542476068,0.2077922077922078
O=C(CC1=CC=CC=C1)NCC(C(=O)N)=CC2=CC=C3C(=C2)C(=C(C(C(N)))(N))CC3,Clc1c(cccc1)CC(C(=O)N)CNC(=O)Nc2c(F)ccc(c2)C(=O)N,0.639906714930905,0.1744186046511628
O=C(C1=CC(C(C))=CC=C1)NCC2=CC=CC(C(=C))=C2CCC(=C(N)(C))C(=O)N,O=C(NCCCCNC(=O)C(c1ccccc1)c2ccccc2)C=C(CC)CC,0.7249765053980048,0.18181818181818182
O=C(CC1=CC(C(=C)N)=C(N)C=C1)N2CC(C(=O)N)=C(C3=CC=CC(C(=O)N)=C3)C2,O=C(NCCNC(=O)Cc1c(ccnc1)C)Cc2c(cccc2)CC,0.6340673658848015,0.11392405063291139
CC1=CC=C(C(=O)(N))C=C1C(=O)CN(C)C2CC3=CC(C(C(C(C(=O)N))))=CC=C3CC2,O=C(N)c1cc(O)c(NC(=O)C=2Nc3c(cccc3)C2)cc1,0.6534091545540963,0.17073170731707318
N#CC1=C(C(=O)N)C=CC=C1CCC(=N)C=CC2=CC3=CC(C(=O)N)=CC=C3C=C2,O=C(NCCC(=O)N(Cc1ccccc1)C)c2ccc(Nc3cnccc3)cc2,0.7097560498764357,0.12087912087912088
C=C(CC1=CC=CC2=C1C=C(C(=O)N)C=C2)C=C(N)C3(C(=O)O)CC4=CC=CC=C4C3,S1c2c(ccc(c2)C)C(C(=O)NCCC(=O)NCc3ccccc3)=C1,0.6333489506715295,0.14457831325301204
